nom,code_postal,population,latitude,longitude,altitude,id_ville
Arc-sur-Tille,21560,2590,47.34417,5.19028,220,1
Auxonne,21130,7592,47.19417,5.38833,185,2
Beaune,21200,20233,47.02417,4.84028,220,3
Brazey-en-Plaine,21470,2425,47.135,5.21694,184,4
Châtillon-sur-Seine,21400,5404,47.85917,4.57444,230,5
Chenôve,21300,14299,47.29611,5.01444,280,6
Chevigny-Saint-Sauveur,21800,10895,47.30222,5.13556,215,7
Dijon [4],21000,159941,47.3225,5.03556,245,8
Fontaine-lès-Dijon,21121,9032,47.34444,5.01917,300,9
Genlis,21110,5125,47.24139,5.22056,199,10
Gevrey-Chambertin,21220,2983,47.22583,4.96861,280,11
Is-sur-Tille,21120,4308,47.52361,5.11278,280,12
Longvic,21600,8787,47.285,5.06306,226,13
Marsannay-la-Côte,21160,5440,47.26889,4.98944,271,14
Montbard,21500,4751,47.62583,4.34139,211,15
Neuilly-Crimolois,21800,3430,47.28083,5.10583,225,16
Nuits-Saint-Georges,21700,5263,47.13722,4.95111,244,17
Perrigny-lès-Dijon,21160,2321,47.26556,5.00611,253,18
Plombières-lès-Dijon,21370,2508,47.34195,4.97083,270,19
Quetigny,21800,8897,47.315,5.115,220,20
Saint-Apollinaire,21850,7517,47.33389,5.08333,250,21
Saulieu,21210,2269,47.2825,4.23139,540,22
Selongey,21260,2394,47.58861,5.18472,300,23
Semur-en-Auxois,21140,4027,47.49306,4.33139,280,24
Sennecey-lès-Dijon,21800,2125,47.29222,5.10167,225,25
Seurre,21250,2336,46.99556,5.14639,180,26
Talant,21240,11986,47.33583,5.00361,360,27
Varois-et-Chaignot,21490,2068,47.34945,5.12667,230,28
Venarey-les-Laumes,21150,2758,47.54333,4.45778,240,29
Audincourt,25400,14009,47.47778,6.84139,322,30
Avanne-Aveney,25720,2237,47.20167,5.96583,250,31
Bart,25420,2015,47.49306,6.77056,314,32
Baume-les-Dames,25110,5064,47.35444,6.36056,280,33
Bavans,25550,3566,47.48306,6.72944,330,34
Besançon [4],25000,120057,47.24528,6.02583,261,35
Bethoncourt,25200,5288,47.53417,6.80056,354,36
Charquemont,25140,2867,47.21389,6.82306,870,37
Châtillon-le-Duc,25870,2025,47.30778,6.00667,300,38
Chemaudin et Vaux,25320,2114,47.22472,5.89056,300,39
Doubs,25300,3309,46.92805,6.35083,810,40
École-Valentin,25480,2620,47.27111,5.98111,317,41
Étupes,25460,3711,47.50806,6.86417,340,42
Exincourt,25400,3273,47.50083,6.83861,333,43
Fesches-le-Châtel,25490,2147,47.52361,6.89778,340,44
les Fins,25500,3062,47.07833,6.62917,850,45
Franois,25770,2250,47.23389,5.92444,294,46
Grand-Charmont,25200,5865,47.52611,6.825,340,47
Hérimoncourt,25310,3530,47.44305,6.88167,361,48
l'Isle-sur-le-Doubs,25250,2812,47.44695,6.58583,296,49
Les Auxons,25870,2522,47.30111,5.97222,260,50
Levier,25270,2345,46.95361,6.11583,720,51
Maîche,25120,4226,47.25306,6.80222,790,52
Mandeure,25350,4672,47.45194,6.80667,335,53
Mathay,25700,2131,47.43722,6.78472,335,54
Miserey-Salines,25480,2660,47.28305,5.97,300,55
Montbéliard,25200,25516,47.51194,6.8,330,56
Montferrand-le-Château,25320,2191,47.17805,5.92444,290,57
Montlebon,25500,2227,47.03917,6.61278,800,58
Morteau,25500,6905,47.0575,6.60222,760,59
Orchamps-Vennes,25390,2180,47.13167,6.525,750,60
Ornans,25290,4421,47.10556,6.1425,345,61
Pirey,25480,2179,47.26278,5.96667,300,62
Pont-de-Roide,25150,3971,47.38556,6.77139,350,63
Pontarlier,25300,17928,46.905,6.35528,840,64
Pouilley-les-Vignes,25115,2162,47.25694,5.93556,240,65
Roche-lez-Beaupré,25220,2185,47.27611,6.11417,250,66
le Russey,25210,2546,47.16306,6.72889,880,67
Saint-Vit,25410,5059,47.18167,5.81139,257,68
Saône,25660,3142,47.22472,6.11694,390,69
Seloncourt,25230,5812,47.46222,6.86056,345,70
Sochaux,25600,3772,47.51639,6.83056,320,71
Thise,25220,2990,47.28472,6.08056,280,72
Val-d'Usiers,25520,2128,46.95972,6.26833,750,73
Valdahon,25800,5715,47.1475,6.34611,650,74
Valentigney,25700,10624,47.4675,6.83333,326,75
Vieux-Charmont,25600,2829,47.52417,6.83972,330,76
Villers-le-Lac,25130,5248,47.06111,6.66972,780,77
Voujeaucourt,25420,3152,47.475,6.77417,317,78
Arbois,39600,3146,46.90055,5.77278,292,79
Champagnole,39300,8035,46.74389,5.90806,540,80
Coteaux du Lizon,39170,2146,46.39778,5.78861,582,81
Damparis,39500,2590,47.07361,5.41194,200,82
Dole,39100,23784,47.09167,5.49639,225,83
Foucherans,39100,2286,47.08055,5.45472,212,84
Hauts-de-Bienne,39400,5099,46.515,6.025,750,85
Lavans-lès-Saint-Claude,39170,2342,46.38361,5.78028,520,86
Lons-le-Saunier [3],39000,16942,46.6725,5.55222,267,87
Moirans-en-Montagne,39260,2121,46.42972,5.72278,630,88
Montmorot,39570,3207,46.67694,5.52833,260,89
Morbier,39400,2371,46.53472,6.01694,910,90
Poligny,39800,4089,46.83444,5.7075,347,91
les Rousses,39220,3702,46.485,6.06056,1100,92
Saint-Amour,39160,2364,46.43583,5.34083,225,93
Saint-Claude,39200,8556,46.38806,5.86361,434,94
Salins-les-Bains,39110,2430,46.94083,5.87778,357,95
Tavaux,39500,3926,47.03389,5.40361,193,96
la Charité-sur-Loire,58400,4701,47.17889,3.01917,170,97
Clamecy,58500,3597,47.45861,3.51889,150,98
Cosne-Cours-sur-Loire,58200,9786,47.40917,2.92333,150,99
Coulanges-lès-Nevers,58660,3678,47.00555,3.18917,192,100
Decize,58300,5025,46.82778,3.45361,193,101
Fourchambault,58600,4019,47.02139,3.08306,173,102
Garchizy,58600,3666,47.04694,3.09611,210,103
Guérigny,58130,2512,47.09028,3.19778,210,104
Imphy,58160,3175,46.92861,3.265,200,105
la Machine,58260,3213,46.89056,3.46667,260,106
Marzy,58180,3650,46.98056,3.08944,190,107
Nevers [3],58000,33172,46.99445,3.15556,201,108
Pougues-les-Eaux,58320,2388,47.07417,3.10278,202,109
Saint-Éloi,58000,2220,46.97306,3.22333,190,110
Varennes-Vauzelles,58640,9166,47.0125,3.13917,199,111
Arc-lès-Gray,70100,2410,47.45861,5.58028,200,112
Champagney,70290,3674,47.70583,6.68306,369,113
Échenoz-la-Méline,70000,3187,47.6025,6.13694,250,114
Fougerolles-Saint-Valbert,70220,3777,47.88639,6.40611,310,115
Gray,70100,5455,47.44639,5.59083,200,116
Héricourt,70400,10525,47.57417,6.75694,350,117
Lure,70200,7912,47.6825,6.49806,295,118
Luxeuil-les-Bains,70300,6674,47.8175,6.38139,290,119
Port-sur-Saône,70170,2966,47.68889,6.04667,220,120
Rioz,70190,2432,47.42528,6.07028,270,121
Ronchamp,70250,2745,47.69944,6.63639,350,122
Saint-Loup-sur-Semouse,70800,2842,47.88639,6.27306,250,123
Vaivre-et-Montoille,70000,2436,47.63083,6.10417,220,124
Vesoul [3],70000,15306,47.62083,6.15806,220,125
Autun,71400,13144,46.95194,4.30222,312,126
Blanzy,71450,5983,46.70278,4.38472,301,127
Bourbon-Lancy,71140,4656,46.62222,3.77417,250,128
Branges,71500,2372,46.64139,5.18,185,129
le Breuil,71670,3508,46.79528,4.48417,330,130
Buxy,71390,2155,46.7125,4.69444,250,131
Chagny,71150,5402,46.90972,4.75472,210,132
Chalon-sur-Saône,71100,44592,46.78611,4.84972,178,133
Champforgeuil,71530,2616,46.82,4.83583,185,134
la Chapelle-de-Guinchay,71570,4038,46.21028,4.755,200,135
Charnay-lès-Mâcon,71850,8154,46.30944,4.78611,272,136
Charolles,71120,2789,46.43472,4.27556,290,137
Châtenoy-le-Royal,71880,6205,46.79083,4.81194,200,138
Chauffailles,71170,3656,46.20667,4.34,386,139
Ciry-le-Noble,71420,2213,46.60583,4.29889,280,140
Cluny,71250,4980,46.43306,4.65944,250,141
Crêches-sur-Saône,71680,3179,46.24417,4.78778,188,142
le Creusot,71200,20536,46.79722,4.42528,354,143
Crissey,71530,2473,46.8175,4.88306,185,144
Digoin,71160,7380,46.48472,3.98417,230,145
Épinac,71360,2150,46.99194,4.51139,350,146
Gergy,71590,2569,46.87528,4.9475,182,147
Givry,71640,3623,46.78278,4.74361,220,148
Gueugnon,71130,6547,46.60306,4.05778,244,149
Louhans,71500,6483,46.62722,5.22389,180,150
Mâcon [3],71000,34759,46.30833,4.83139,190,151
Montceau-les-Mines,71300,16946,46.68167,4.36472,318,152
Montchanin,71210,4982,46.74778,4.46861,330,153
Ouroux-sur-Saône,71370,3183,46.72055,4.95222,190,154
Paray-le-Monial,71600,9256,46.4525,4.12056,244,155
Romanèche-Thorins,71570,2002,46.19083,4.73667,200,156
Saint-Germain-du-Plain,71370,2346,46.70278,4.98167,190,157
Saint-Marcel,71380,6211,46.77555,4.89611,177,158
Saint-Rémy,71100,6476,46.76972,4.83639,180,159
Saint-Vallier,71230,8508,46.64222,4.36889,330,160
Sancé,71000,2158,46.34111,4.83167,200,161
Sanvignes-les-Mines,71410,4265,46.66722,4.29222,350,162
Sennecey-le-Grand,71240,2911,46.63917,4.87028,210,163
Torcy,71210,2805,46.77056,4.45583,310,164
Tournus,71700,5702,46.56083,4.91111,180,165
Varennes-le-Grand,71240,2287,46.71111,4.87778,187,166
Appoigny,89380,3133,47.87667,3.52556,96,167
Auxerre [3],89000,35236,47.79833,3.57139,120,168
Avallon,89200,6346,47.48889,3.91028,220,169
Brienon-sur-Armançon,89210,3060,47.99278,3.61722,100,170
Chablis,89800,2151,47.815,3.79833,140,171
Champigny,89340,2127,48.31805,3.1275,80,172
Charny-Orée-de-Puisaye,89120,4854,47.88611,3.09556,135,173
Cheny,89400,2231,47.95278,3.53556,90,174
Chevannes,89240,2145,47.75195,3.49444,170,175
Joigny,89300,9055,47.98306,3.3975,100,176
Migennes,89400,6878,47.96611,3.51333,100,177
Monéteau,89470,4113,47.84972,3.57861,95,178
Montholon,89110,2730,47.87472,3.35111,120,179
Paron,89100,4855,48.17778,3.25028,80,180
Pont-sur-Yonne,89140,3357,48.2875,3.20861,80,181
Saint-Clément,89100,2813,48.21667,3.28806,70,182
Saint-Florentin,89600,4230,48.00111,3.72694,120,183
Saint-Georges-sur-Baulche,89000,3176,47.80611,3.53389,160,184
Saint-Julien-du-Sault,89330,2202,48.03028,3.29583,90,185
Sens,89100,27275,48.19722,3.28583,70,186
Tonnerre,89700,4268,47.85444,3.97583,150,187
Toucy,89130,2562,47.735,3.29444,190,188
Villeneuve-la-Guyard,89340,3470,48.34,3.06472,70,189
Villeneuve-sur-Yonne,89500,5130,48.08028,3.29778,80,190
Bavilliers,90800,4641,47.61972,6.83222,356,191
Beaucourt,90500,4985,47.48972,6.92806,440,192
Belfort [3],90000,45646,47.64222,6.85583,361,193
Châtenois-les-Forges,90700,2637,47.55861,6.85,340,194
Danjoutin,90400,3531,47.61611,6.86444,356,195
Delle,90100,5677,47.50833,6.99778,380,196
Essert,90850,3382,47.63389,6.81556,360,197
Évette-Salbert,90350,2022,47.67722,6.80083,400,198
Giromagny,90200,2897,47.74667,6.82139,488,199
Grandvillars,90600,2963,47.53917,6.97611,354,200
Offemont,90300,4054,47.66444,6.87889,370,201
Valdoie,90300,5193,47.66722,6.8425,375,202
